stem,storage_day,gt_class,pred_class,area,circularity,opt_volume
20110511_1,0,0,1,20696.5,0.22793521727173358,23494640.0
20110511_2,0,0,1,11853.5,0.512444170664009,21381876.0
20110511_3,0,0,1,23013.5,0.2577759155853413,32080268.0
20110511_4,0,0,1,31740.0,0.18170191692011955,26792574.0
20110511_5,0,0,1,13888.5,0.36395511835527444,21101162.0
20110511_6,0,0,1,32835.0,0.2654328144553676,24068760.0
20110516_1,5,0,1,15585.5,0.4702335034253542,27201168.0
20110516_2,5,0,1,21198.5,0.36707844146079155,30941762.0
20110516_3,5,0,1,41942.5,0.16253515645453123,40092884.0
20110516_5,5,0,1,18575.0,0.4166076964765322,32211500.0
20110516_6,5,0,1,35763.5,0.16649058314073326,26539728.0
20110516_7,5,0,1,21734.0,0.3187228519585467,37294880.0
20110519_1,8,0,1,53557.0,0.1161974427683438,35242292.0
20110519_10,8,0,1,41286.0,0.1733685516320705,34551480.0
20110519_4,8,0,1,26753.5,0.3102034170415693,30871966.0
20110519_5,8,0,1,53855.5,0.2404784339351829,24942066.0
20110519_7,8,0,1,49120.0,0.15219731447895,33127122.0
20110519_8,8,0,1,63655.5,0.14797010714560335,28202340.0
20110523_2,12,0,1,59589.5,0.11664837786432912,34991184.0
20110523_3,12,0,1,185647.5,0.04492820271223275,40687888.0
20110523_4,12,0,1,35040.0,0.24158633096136406,39121200.0
20110523_6,12,0,1,46188.5,0.2522138741652967,33887044.0
20110523_7,12,0,1,47179.0,0.1558953659212138,36498692.0
20110523_9,12,0,1,52547.0,0.144503515750228,40359632.0
20110526_2,15,0,1,72844.5,0.1303356492668551,40960920.0
20110526_3,15,0,1,192985.5,0.116297538424951,56160000.0
20110526_5,15,0,1,169164.5,0.12294425735187138,55842644.0
20110526_6,15,0,1,175847.0,0.089640867625905,48046712.0
20110526_7,15,0,1,113645.0,0.11070205866427446,47882756.0
20110526_8,15,0,1,240614.5,0.0724718004342552,53639152.0
20110530_4,19,0,1,15223.0,0.42674783607454203,22428990.0
20110530_5,19,0,1,21028.0,0.2878854067774955,22199640.0
20110530_6,19,0,1,20328.0,0.30204522889380647,25718494.0
20110530_7,19,0,1,16225.0,0.31689383679379324,25951084.0
20110530_8,19,0,1,30883.5,0.21722424339375643,28575948.0
20110530_9,19,0,1,13474.5,0.44818169538757907,18959070.0
20110603_1,23,0,1,4429.5,0.5391216339122736,7265713.0
20110603_10,23,0,1,23185.5,0.26070305093329854,20046326.0
20110603_3,23,0,1,14785.5,0.4175255681437652,20540684.0
20110603_5,23,0,1,13924.0,0.36659358780607604,24625624.0
20110603_6,23,0,1,15492.5,0.3927507927182059,21926848.0
20110603_9,23,0,1,9857.0,0.5217996621720273,17378450.0
20110607_1,27,0,1,13826.5,0.37584990307156335,12032515.0
20110607_2,27,0,1,10473.0,0.4837555902464607,12146945.0
20110607_3,27,0,1,12620.0,0.5323776868416227,12315855.0
20110607_4,27,0,1,11342.0,0.5368740270280947,12008260.0
20110607_7,27,0,1,18354.0,0.3740042933534082,21725990.0
20110607_9,27,0,1,11610.0,0.5593831677123122,17968546.0
20110610_1,30,0,1,41936.0,0.14718707935987374,31358152.0
20110610_10,30,0,1,13041.5,0.509507267612878,22121936.0
20110610_3,30,0,1,28347.5,0.226310200541549,30179774.0
20110610_4,30,0,1,36612.5,0.21200507216598244,29447380.0
20110610_6,30,0,1,14306.5,0.4073025496397359,27398338.0
20110610_9,30,0,1,12294.5,0.25532675201793653,17535108.0
20110617_1,37,0,1,8713.5,0.6155990934974156,13605075.0
20110617_10,37,0,1,7374.5,0.45175367649754855,8847230.0
20110617_3,37,0,1,15874.5,0.4258837962496044,20549542.0
20110617_6,37,0,1,8888.5,0.4468336219275464,12144423.0
20110617_8,37,0,1,8657.0,0.4993338988833648,14278175.0
20110617_9,37,0,1,12544.5,0.45682851410808867,11206105.0
20110627_1,47,0,1,13205.5,0.298301900258721,17140420.0
20110627_10,47,0,1,6648.0,0.8679164274687964,18086026.0
20110627_3,47,0,1,7774.5,0.4630244277527961,21498836.0
20110627_4,47,0,1,6657.0,0.8843391672190029,16609515.0
20110627_5,47,0,1,13363.0,0.56101734202452,16527563.0
20110627_6,47,0,3,4828.0,0.8684690646587689,12168437.0
