Architecture,Category,Loss Config,Rank,Trainable %,mean_dice,mean_iou,aji,bf1,phase_vol_error,Trainable Params,Total Params,dice_discocyte,phase_vol_error_discocyte,dice_echinocyte,phase_vol_error_echinocyte,dice_spherocyte,phase_vol_error_spherocyte,dice_stomatocyte,phase_vol_error_stomatocyte,phase_vol_error_std
EDGE_SAM,FULL_FINETUNE,N/A,0,100.0,0.5570875410170875,0.4517250768057891,0.43148949388715363,0.9307709283560432,0.050778746604919434,5692005,5692005,0.8799120205809006,0.43165266513824463,1.6221652661970572e-13,1.0,0.7238646072954502,0.26101481914520264,0.6245735361918368,0.4472017288208008,0.044073741883039474
MOBILENET_UNET,FULL_FINETUNE,N/A,0,100.0,0.41994596737818723,0.36414085225761733,0.7048393232555835,0.9688873008937386,0.035564642399549484,7622821,7622821,0.8977876489317136,0.5992370247840881,1.6221652661970572e-13,1.0,0.7819962205806712,0.2590535581111908,2.019997980001612e-13,1.0,0.03104514069855213
MOBILE_SAM,FULL_FINETUNE,N/A,0,100.0,0.41864489919166886,0.3618833435342053,0.2797837951982462,0.6648467581473614,0.027629973366856575,6660540,6660540,0.8907753382658719,0.6154099702835083,1.0146845142908064e-14,1.0,0.7838042585007807,0.24196560680866241,1.2632419335686173e-14,1.0,0.02301817387342453
