stem,storage_day,gt_class,pred_class,area,circularity,opt_volume
20110511_1,0,0,1,1156.5,0.2473189784251316,1515715.0
20110511_2,0,0,1,715.0,0.4210318981103203,1345048.0
20110511_3,0,0,1,1754.0,0.15445329147951553,2007497.0
20110511_4,0,0,1,3065.5,0.09037974816118206,1736017.0
20110511_5,0,0,1,773.5,0.4831354921452226,1330904.0
20110511_6,0,0,1,2115.0,0.2892291765785571,1545744.0
20110516_1,5,0,1,952.5,0.4301545570747176,1686551.0
20110516_2,5,0,1,1152.0,0.3709848585380082,1923309.0
20110516_3,5,0,1,1811.0,0.22965483636264666,2518863.0
20110516_5,5,0,1,1356.0,0.21225582615615962,2022258.0
20110516_6,5,0,1,2490.5,0.15173967824777465,1717094.0
20110516_7,5,0,1,1391.0,0.3638077200235203,2370721.0
20110519_1,8,0,1,4910.5,0.1044017102624377,2241324.0
20110519_10,8,0,1,3551.0,0.09810799909724885,2232583.0
20110519_4,8,0,1,2950.0,0.13253244037348416,1940097.0
20110519_5,8,0,1,3122.5,0.25687636861926805,1567862.0
20110519_7,8,0,1,3521.0,0.15401488115099984,2090046.0
20110519_8,8,0,1,4049.0,0.16678446384620768,1793610.0
20110523_2,12,0,1,3669.5,0.11586461911299796,2236191.0
20110523_3,12,0,1,12360.0,0.044299034451423594,2674676.0
20110523_4,12,0,1,2051.5,0.19777845423001844,2443851.0
20110523_6,12,0,1,4998.5,0.1023566613992392,2160145.0
20110523_7,12,0,1,2247.5,0.17785637320759828,2263155.0
20110523_9,12,0,1,3269.5,0.11787881795820208,2566556.0
20110526_2,15,0,1,5578.0,0.074072275443281,2554283.0
20110526_3,15,0,1,20125.0,0.036153304810042926,3516613.0
20110526_5,15,0,1,9139.5,0.12127076550721629,3478358.0
20110526_6,15,0,1,7602.5,0.08421269896558461,2980678.0
20110526_7,15,0,1,5563.5,0.07763457660030154,2980900.0
20110526_8,15,0,1,10609.5,0.1402569582914114,3354139.0
20110530_4,19,0,1,1105.0,0.251022374784978,1433179.0
20110530_5,19,0,1,1377.5,0.36221025410594887,1448872.0
20110530_6,19,0,1,1232.5,0.20946048108668036,1635375.0
20110530_7,19,0,1,1411.0,0.3116914638066452,1679649.0
20110530_8,19,0,1,1915.5,0.23577126460609238,1810923.0
20110530_9,19,0,1,1017.0,0.3183289409063011,1174525.0
20110603_1,23,0,4,346.5,0.42674211630796005,568075.0
20110603_10,23,0,1,1384.0,0.2040247488439373,1351314.0
20110603_3,23,0,1,786.5,0.35874235359680806,1257946.0
20110603_5,23,0,1,858.0,0.3076835078232581,1531871.0
20110603_6,23,0,1,834.0,0.2708445175184093,1307515.0
20110603_9,23,0,1,631.0,0.5480517198609024,1108586.0
20110607_1,27,0,1,813.5,0.28280655286811585,764974.0
20110607_2,27,0,1,659.0,0.23086028708513237,813126.0
20110607_3,27,0,1,794.5,0.27720106718940535,784460.0
20110607_4,27,0,1,616.5,0.4347072162504547,744614.0
20110607_7,27,0,1,1072.0,0.34165183486189876,1386945.0
20110607_9,27,0,1,699.0,0.4552075608999229,1191886.0
20110610_1,30,0,1,1419.0,0.21401475415494686,1981238.0
20110610_10,30,0,1,1213.0,0.26458177967103785,1384062.0
20110610_3,30,0,1,1493.0,0.2441720141304436,1901050.0
20110610_4,30,0,1,1231.0,0.32339101462209185,1857467.0
20110610_6,30,0,1,765.0,0.36374604678288336,1719038.0
20110610_9,30,0,1,645.5,0.4342759510042441,1093914.0
20110617_1,37,0,1,575.5,0.3987673761472971,888079.0
20110617_10,37,0,1,504.0,0.45531280984250716,604140.0
20110617_3,37,0,1,923.0,0.3327156729127482,1305186.0
20110617_6,37,0,1,1137.0,0.249428844372669,1223577.0
20110617_8,37,0,1,517.5,0.4216873470705129,966725.0
20110617_9,37,0,1,682.0,0.3822239684095769,728635.0
20110627_1,47,0,2,860.5,0.22386051875076496,1173417.0
20110627_10,47,0,2,911.0,0.2603808804092925,1164916.0
20110627_3,47,0,3,440.0,0.36396081072543623,1373467.0
20110627_4,47,0,3,505.5,0.3601320218826608,1043215.0
20110627_5,47,0,2,737.0,0.3433971749894195,1062043.0
20110627_6,47,0,3,384.0,0.7186827894585576,948813.0
