stem,storage_day,gt_class,pred_class,area,circularity,opt_volume
20110511_1,0,0,1,1300.0,0.20064747846048933,1523448.0
20110511_2,0,0,1,727.0,0.3889698289625504,1359681.0
20110511_3,0,0,1,1067.5,0.25406608983714296,2000074.0
20110511_4,0,0,1,2913.5,0.11095459635611335,1762363.0
20110511_5,0,0,1,804.5,0.2944432821552738,1303829.0
20110511_6,0,0,1,2372.5,0.15193308365488095,1552004.0
20110516_1,5,0,1,926.0,0.29717151052690677,1609709.0
20110516_2,5,0,1,1004.0,0.1999485608480079,1900232.0
20110516_3,5,0,1,3046.5,0.10579691590598425,2506451.0
20110516_5,5,0,1,1357.0,0.1979054634069556,1941030.0
20110516_6,5,0,1,2629.0,0.10193247857178887,1636195.0
20110516_7,5,0,1,1365.0,0.21906577654798173,2319153.0
20110519_1,8,0,1,5064.5,0.10109527401541489,2161097.0
20110519_10,8,0,1,3316.0,0.09275117590378879,2161529.0
20110519_4,8,0,1,1686.0,0.2528305912650018,1924928.0
20110519_5,8,0,1,3276.5,0.16908725569983707,1541686.0
20110519_7,8,0,1,3195.5,0.09562169073971949,1995131.0
20110519_8,8,0,1,3870.0,0.09848729622583983,1743694.0
20110523_2,12,0,1,3538.5,0.08637748293795262,2176460.0
20110523_3,12,0,1,7563.5,0.048594646384009794,2589957.0
20110523_4,12,0,1,2023.5,0.18706057772018683,2387461.0
20110523_6,12,0,1,5032.5,0.09281854034662088,2116842.0
20110523_7,12,0,1,2280.5,0.17629693096759888,2133440.0
20110523_9,12,0,1,3205.0,0.13113514737309984,2489167.0
20110526_2,15,0,1,2536.0,0.15134433115884768,2279159.0
20110526_3,15,0,1,9255.5,0.03788124108625632,3119516.0
20110526_5,15,0,1,3555.0,0.10223252912241569,3059413.0
20110526_6,15,0,1,4318.0,0.07416980465351694,2745902.0
20110526_7,15,0,1,2446.0,0.1306616737328157,2807467.0
20110526_8,15,0,1,8903.5,0.05200196207670433,3077350.0
20110530_4,19,0,1,1048.0,0.24117009414116153,1385071.0
20110530_5,19,0,1,1384.5,0.3215477099552838,1438512.0
20110530_6,19,0,1,1284.0,0.23328138101086265,1623799.0
20110530_7,19,0,1,1329.0,0.24235068136446536,1670478.0
20110530_8,19,0,1,1840.0,0.12375368042015761,1778282.0
20110530_9,19,0,1,1022.0,0.2938627462374942,1188476.0
20110603_1,23,0,1,322.0,0.38312175118835146,565306.0
20110603_10,23,0,1,1418.0,0.2064017665768245,1328705.0
20110603_3,23,0,1,850.0,0.29114805072636774,1248049.0
20110603_5,23,0,1,825.0,0.21645097657265938,1510577.0
20110603_6,23,0,1,876.0,0.302666221416705,1333925.0
20110603_9,23,0,1,581.5,0.4675788282572871,1110957.0
20110607_1,27,0,1,1067.0,0.16278927215877506,758335.0
20110607_2,27,0,1,641.0,0.25497463758263317,807214.0
20110607_3,27,0,1,696.5,0.3813468848461576,785416.0
20110607_4,27,0,1,635.5,0.38597780154745803,752721.0
20110607_7,27,0,1,1041.0,0.23579498077429545,1377165.0
20110607_9,27,0,1,695.0,0.4347194888299883,1176014.0
20110610_1,30,0,1,1417.0,0.1831312162408384,1906088.0
20110610_10,30,0,1,727.5,0.4388886078863079,1358353.0
20110610_3,30,0,1,1041.5,0.29449766219426926,1687843.0
20110610_4,30,0,1,1746.5,0.1986947264258422,1832772.0
20110610_6,30,0,1,1445.0,0.2286249843905483,1720425.0
20110610_9,30,0,1,729.0,0.2024691287377161,1013207.0
20110617_1,37,0,1,432.0,0.31912626961707385,747894.0
20110617_10,37,0,1,506.0,0.48684134991505185,596805.0
20110617_3,37,0,1,1106.5,0.1896779950968922,919576.0
20110617_6,37,0,2,941.0,0.38287558876689787,827697.0
20110617_8,37,0,1,575.5,0.5064513616331341,1002608.0
20110617_9,37,0,1,532.0,0.33833366978810697,620032.0
20110627_1,47,0,2,452.0,0.43488594893597515,814960.0
20110627_10,47,0,2,843.5,0.20015560738340926,1193683.0
20110627_3,47,0,2,805.0,0.16806441687737753,1377325.0
20110627_4,47,0,2,564.0,0.4062500318763132,1088938.0
20110627_5,47,0,2,817.0,0.4225115562355658,1025789.0
20110627_6,47,0,2,1001.0,0.2543906785212613,581950.0
